"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Reinforcement Learning for Adaptive Network Slicing in 5G for Intelligent Vehicular Systems and Smart Cities","A. Nassar; Y. Yilmaz","Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA. (e-mail: atnassar@usf.edu); Electrical Engineering Department, University of South Florida, Tampa, FL 33620, USA.","IEEE Internet of Things Journal","","2021","PP","99","1","1","Intelligent vehicular systems and smart city applications are the fastest growing Internet of things (IoT) implementations at a compound annual growth rate of 30%. In view of the recent advances in IoT devices and the emerging new breed of IoT applications driven by artificial intelligence (AI), fog radio access network (F-RAN) has been recently introduced for the fifth generation (5G) wireless communications to overcome the latency limitations of cloud-RAN (C-RAN). We consider the network slicing problem of allocating the limited resources at the network edge (fog nodes) to vehicular and smart city users with heterogeneous latency and computing demands in dynamic environments. We develop a network slicing model based on a cluster of fog nodes (FNs) coordinated with an edge controller (EC) to efficiently utilize the limited resources at the network edge. For each service request in a cluster, the EC decides which FN to execute the task, i.e., locally serve the request at the edge, or to reject the task and refer it to the cloud. We formulate the problem as infinite-horizon Markov decision process (MDP) and propose a deep reinforcement learning (DRL) solution to adaptively learn the optimal slicing policy. The performance of the proposed DRL-based slicing method is evaluated by comparing it with other slicing approaches in dynamic environments and for different scenarios of design objectives. Comprehensive simulation results corroborate that the proposed DRL-based EC quickly learns the optimal policy through interaction with the environment, which enables adaptive and automated network slicing for efficient resource allocation in dynamic vehicular and smart city environments.","2327-4662","","10.1109/JIOT.2021.3091674","U.S. National Science Foundation(grant numbers:ECCS-2029875); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463417","Intelligent Vehicular Systems;Network Slicing;Deep Reinforcement Learning;Edge Computing;Fog RAN.","Network slicing;Smart cities;Cloud computing;Resource management;Quality of service;Vehicle dynamics;Ultra reliable low latency communication","","","","","","","IEEE","23 Jun 2021","","","IEEE","IEEE Early Access Articles"
"Machine Learning Aided Network Slicing","M. Toscano; F. Grunwald; M. Richart; J. Baliosian; E. Grampín; A. Castro","School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay; School of Engineering, Universidad de la República, Montevideo, Uruguay","2019 21st International Conference on Transparent Optical Networks (ICTON)","19 Sep 2019","2019","","","1","4","Future 5G wireless networks will need to deal with increasing heterogeneity in offered services, performance requirements, and communication technologies. Network slicing has appeared as a technique to deal with the complex management of these future networks. Particularly, in wireless networks, link bitrate depends on several factors (e.g., interference). In a wire-wireless network scenario, any mechanism that proposes to manage and allocate resources to implement slicing in wireless devices will require knowledge of the channel characteristics. In this paper, we present a Deep Learning algorithm to predict if a service provider will be able to fulfil a new network slice request given the conditions of the channel and the allocated resources. As part of the Deep Learning algorithm architecture, given the sequentially of the transmission data, we designed and implemented a Long Short Memory Term network for predicting the channel conditions in the near future. Results show that the propose Deep Learning algorithm reduce the number of false positive allocations by a 75%.","2161-2064","978-1-7281-2779-8","10.1109/ICTON.2019.8840141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8840141","deep learning;long short term memory;network slicing;wire-wireless networks","Resource management;Network slicing;Deep learning;Wireless networks;Recurrent neural networks;Standards","5G mobile communication;learning (artificial intelligence);resource allocation;telecommunication computing;telecommunication traffic","wireless devices;Deep Learning algorithm;service provider;network slice request;allocated resources;Long Short Memory Term network;network slicing;wireless networks;performance requirements;communication technologies;complex management;wire-wireless network scenario","","3","","12","","19 Sep 2019","","","IEEE","IEEE Conferences"
"Application of 5G network slicing technology in smart grid","R. Liu; X. Hai; S. Du; L. Zeng; J. Bai; J. Liu","Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","740","743","With the development of power Internet of Things technology, the communication needs of smart grid are increasing. Network slicing technology, as a key technology for 5G empowering vertical industries, uses virtual private network technology to provide the power industry with end-to-end flexible and customized 5G services which is large bandwidth, low latency and high reliability through the slicing platform. Network slicing technologies are of great significance to the smart and efficient development of power grids. Based on this, this article introduces 5G network slicing technology, and then proposes the application of 5G network slicing in smart grids from four aspects.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9389979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389979","smart grid;network slicing;5G technology","5G mobile communication;Power supplies;Network slicing;Smart grids;Virtual private networks;Reliability;Internet of Things","5G mobile communication;Internet of Things;smart power grids;virtual private networks","smart grid;network slicing technology;virtual private network technology","","","","14","","2 Apr 2021","","","IEEE","IEEE Conferences"
"Semi-Decentralized Network Slicing for Reliable V2V Service Provisioning: A Model-Free Deep Reinforcement Learning Approach","J. Mei; X. Wang; K. Zheng","Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada.; Department of Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada (e-mail: xianbin.wang@uwo.ca); Intelligent Computing and Communication (IC2) Lab, Beijing University of Posts and Telecommunications (BUPT), Beijing 100876, China.","IEEE Transactions on Intelligent Transportation Systems","","2021","PP","99","1","13","Applying of network slicing in vehicular networks becomes a promising paradigm to support emerging Vehicle-to-Vehicle (V2V) applications with diverse quality of service (QoS) requirements. However, achieving effective network slicing in dynamic vehicular communications still faces many challenges, particularly time-varying traffic of Vehicle-to-Vehicle (V2V) services and the fast-changing network topology. By leveraging the widely deployed LTE infrastructures, we propose a semi-decentralized network slicing framework in this paper based on the C-V2X Mode-4 standard to provide customized network slices for diverse V2V services. With only the long-term and partial information of vehicular networks, eNodeB (eNB) can infer the underlying network situation and then intelligently adjust the configuration for each slice to ensure the long-term QoS performance. Under the coordination of eNB, each vehicle can autonomously select radio resources for its V2V transmission in a decentralized manner. Specifically, the slicing control at the eNB is realized by a model-free deep reinforcement learning (DRL) algorithm, which is a convergence of Long Short Term Memory (LSTM) and actor-critic DRL. Compared to the existing DRL algorithms, the proposed DRL neither requires any prior knowledge nor assumes any statistical model of vehicular networks. Furthermore, simulation results show the effectiveness of our proposed intelligent network slicing scheme.","1558-0016","","10.1109/TITS.2021.3109878","Natural Sciences and Engineering Research Council of Canada NSERC Discovery Program(grant numbers:RGPIN2018-06254); Canada Research Chair Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9535371","V2V communication;C-V2X mode-4;network slicing;deep reinforcement learning.","Network slicing;Quality of service;Resource management;Sensors;Mathematical model;Vehicular ad hoc networks;Vehicle dynamics","","","","","","","IEEE","10 Sep 2021","","","IEEE","IEEE Early Access Articles"
"Proactive Dynamic Network Slicing with Deep Learning Based Short-Term Traffic Prediction for 5G Transport Network","Q. Guo; R. Gu; Z. Wang; T. Zhao; Y. Ji; J. Kong; R. Gour; J. P. Jue","Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, 100876, China; Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, 100876, China; Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, 100876, China; Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, 100876, China; Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, 100876, China; Department of Computer Science, The University of Texas at Dallas, Richardson, Texas 75080, USA; Department of Computer Science, The University of Texas at Dallas, Richardson, Texas 75080, USA; Department of Computer Science, The University of Texas at Dallas, Richardson, Texas 75080, USA","2019 Optical Fiber Communications Conference and Exhibition (OFC)","25 Apr 2019","2019","","","1","3","We propose a proactive dynamic network slicing scheme that utilizes a deep-learning based short-term traffic prediction approach for 5G transport networks. The demonstration shows utilization efficiency improvement from 46.33% to 71.53% under the evaluated scenario.","","978-1-943580-53-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8696451","","Bandwidth;Predictive models;Training;5G mobile communication;Data models;Neural networks;Deep learning","5G mobile communication;learning (artificial intelligence);neural nets;telecommunication computing;telecommunication traffic","deep learning;5G transport network;proactive dynamic network slicing scheme;deep-learning;short-term traffic prediction approach;utilization efficiency improvement","","","","6","","25 Apr 2019","","","IEEE","IEEE Conferences"
"An intelligent self-sustained RAN slicing framework for diverse service provisioning in 5G-beyond and 6G networks","J. Mei; X. Wang; K. Zheng","Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada; Electrical and Computer Engineering, Western University, London, ON N6A 5B9, Canada; Intelligent Computing and Communication (IC2) Lab, Wireless Signal Processing and Network (WSPN) Lab, Key Laboratory of Universal Wireless Communication, Ministry of Education, Beijing University of Posts and Telecommunications (BUPT), Beijing 100876, China","Intelligent and Converged Networks","5 Jan 2021","2020","1","3","281","294","Network slicing is a key technology to support the concurrent provisioning of heterogeneous Quality of Service (QoS) in the 5th Generation (5G)-beyond and the 6th Generation (6G) networks. However, effective slicing of Radio Access Network (RAN) is very challenging due to the diverse QoS requirements and dynamic conditions in the 6G networks. In this paper, we propose a self-sustained RAN slicing framework, which integrates the self-management of network resources with multiple granularities, the self-optimization of slicing control performance, and self-learning together to achieve an adaptive control strategy under unforeseen network conditions. The proposed RAN slicing framework is hierarchically structured, which decomposes the RAN slicing control into three levels, i.e., network-level slicing, next generation NodeB (gNodeB)-level slicing, and packet scheduling level slicing. At the network level, network resources are assigned to each gNodeB at a large timescale with coarse resource granularity. At the gNodeB-level, each gNodeB adjusts the configuration of each slice in the cell at the large timescale. At the packet scheduling level, each gNodeB allocates radio resource allocation among users in each network slice at a small timescale. Furthermore, we utilize the transfer learning approach to enable the transition from a model-based control to an autonomic and self-learning RAN slicing control. With the proposed RAN slicing framework, the QoS performance of emerging services is expected to be dramatically enhanced.","2708-6240","","10.23919/ICN.2020.0019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314166","Radio Access Network (RAN);network slicing;network resource management;intelligent network","Quality of service;Network slicing;Resource management;5G mobile communication;Radio access networks;Dynamic scheduling;Cloud computing","5G mobile communication;6G mobile communication;adaptive control;learning (artificial intelligence);next generation networks;quality of service;radio access networks;radio spectrum management;resource allocation;telecommunication control;telecommunication scheduling","model-based control;transfer learning;radio resource allocation;adaptive control strategy;heterogeneous quality of service;5th generation-beyond networks;next generation NodeB-level slicing;autonomic RAN slicing control;self-learning RAN slicing control;network slice;gNodeB-level;packet scheduling level slicing;network-level slicing;network conditions;slicing control performance;network resources;QoS requirements;radio access network;6G networks;5G networks;service provisioning;intelligent self-sustained RAN slicing framework","","1","","","","5 Jan 2021","","","TUP","TUP Journals"
"Continuous Multi-objective Zero-touch Network Slicing via Twin Delayed DDPG and OpenAI Gym","F. Rezazadeh; H. Chergui; L. Alonso; C. Verikoukis","Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain; Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain; Technical University of Catalonia (UPC),Barcelona,Spain; Telecommunications Technological Center of Catalonia (CTTC),Barcelona,Spain","GLOBECOM 2020 - 2020 IEEE Global Communications Conference","25 Jan 2021","2020","","","1","6","Artificial intelligence (AI)-driven zero-touch network slicing (NS) is a new paradigm enabling the automation of resource management and orchestration (MANO) in multi-tenant beyond 5G (B5G) networks. In this paper, we tackle the problem of cloud-RAN (C-RAN) joint slice admission control and resource allocation by first formulating it as a Markov decision process (MDP). We then invoke an advanced continuous deep reinforcement learning (DRL) method called twin delayed deep deterministic policy gradient (TD3) to solve it. In this intent, we introduce a multi-objective approach to make the central unit (CU) learn how to re-conFigure computing resources autonomously while minimizing latency, energy consumption and virtual network function (VNF) instantiation cost for each slice. Moreover, we build a complete 5G C-RAN network slicing environment using OpenAI Gym toolkit where, thanks to its standardized interface, it can be easily tested with different DRL schemes. Finally, we present extensive experimental results to showcase the gain of TD3 as well as the adopted multi-objective strategy in terms of achieved slice admission success rate, latency, energy saving and CPU utilization.","2576-6813","978-1-7281-8298-8","10.1109/GLOBECOM42002.2020.9322237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9322237","Admission control;B5G;continuous DRL;C-RAN;network slicing;OpenAI Gym;resource allocation;zero-touch","Resource management;Wireless communication;Dynamic scheduling;Network slicing;5G mobile communication;Delays;Computer architecture","5G mobile communication;cloud computing;decision theory;deep learning (artificial intelligence);Markov processes;radio access networks;resource allocation;telecommunication congestion control;telecommunication power management;virtualisation","continuous multiobjective zero-touch network slicing;twin delayed DDPG;artificial intelligence-driven zero-touch network slicing;resource management;cloud-RAN;resource allocation;Markov decision process;advanced continuous deep reinforcement learning method;deep deterministic policy gradient;re-configure computing resources;virtual network function instantiation cost;OpenAI Gym toolkit;adopted multiobjective strategy;slice admission success rate;multitenant beyond 5G networks;energy consumption;energy saving;CPU utilization;complete 5G C-RAN network slicing environment","","","","22","","25 Jan 2021","","","IEEE","IEEE Conferences"
"Real-Time Resource Slicing for 5G RAN via Deep Reinforcement Learning","R. Xi; X. Chen; Y. Chen; Z. Li",Beijing Information Science & Technology University; Beijing Information Science & Technology University; Beijing Information Science & Technology University; Beijing Information Science & Technology University,"2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS)","30 Jan 2020","2019","","","625","632","With the rapid growth of Internet of Things (IoT), network slicing is regarded as an important technology to support the multi-users' needs for 5G mobile network. Network slicing allows network operators to provide services to different users, which can improve the rational utilization of network and hardware resources. In order to ensure the quality of service and build low-cost network infrastructure services, it is a challenging problem to find an appropriate resource allocation mechanism. In this paper, we discuss resource allocation in 5G radio access network (RAN). Considering the real-time resource request of the slice user, we propose a semi-Markov decision system model, which enables the virtual network provider to effectively satisfy the different user demands in real time. Then, we propose a resource slicing algorithm based on deep reinforcement learning (RS-DRL), which aims to improve the long-term benefits of virtual network providers and the utilization of slicing resources. We evaluate the performance of the RS-DRL through evaluations and comparisons. The results show that the proposed RS-DRL algorithm can effectively improve the performance and achieve the long-term benefits quickly.","1521-9097","978-1-7281-2583-1","10.1109/ICPADS47876.2019.00094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8975772","5G RAN;Network slicing;Markov decision process(MDP);Resource allocation;Deep reinforcement learning","","5G mobile communication;Internet of Things;learning (artificial intelligence);Markov processes;quality of service;radio access networks;resource allocation;telecommunication computing;virtualisation","virtual network provider;resource slicing algorithm;deep reinforcement learning;RS-DRL;slicing resources;time resource slicing;RAN;network slicing;multiusers;5G mobile network;network operators;rational utilization;hardware resources;quality of service;low-cost network infrastructure services;appropriate resource allocation mechanism;5G radio access network;real-time resource request;slice user;semiMarkov decision system model","","1","","31","","30 Jan 2020","","","IEEE","IEEE Conferences"
"Deep Federated Q-Learning-Based Network Slicing for Industrial IoT","S. Messaoud; A. Bradai; O. B. Ahmed; P. T. A. Quang; M. Atri; M. S. Hossain","Faculty of Sciences of Monastir, Laboratory of Electronics and Microelectronics, University of Monastir, Monastir, Tunisia; XLIM-CNRS, University of Poitiers, Chasseneuil Cedex, France; XLIM-CNRS, University of Poitiers, Chasseneuil Cedex, France; Huawei-France, Boulogne-Billancourt, France; College of Computer Science, University of King Khalid, Abha, Saudi Arabia; King Saud University, Riyadh, Saudi Arabia","IEEE Transactions on Industrial Informatics","4 May 2021","2021","17","8","5572","5582","Fifth generation and beyond networks are envisioned to support multi industrial Internet of Things (IIoT) applications with a diverse quality-of-service (QoS) requirements. Network slicing is recognized as a flagship technology that enables IIoT networks with multiservices and resource requirements by allowing the network-as-infrastructure transition to the network-as-service. Motivated by the increasing IIoT computational capacity, and taking into consideration the QoS satisfaction and private data sharing challenges, federated reinforcement learning (RL) has become a promising approach that distributes data acquisition and computation tasks over distributed network agents, exploiting local computation capacities and agent's self-learning experiences. This article proposes a novel deep RL scheme to provide a federated and dynamic network management and resource allocation for differentiated QoS services in future IIoT networks. This involves IIoT slices resource allocation in terms of transmission power (TP) and spreading factor (SF) according to the slices QoS requirements. Toward this goal, the proposed deep federated Q-learning (DFQL) is reached into two main steps. First, we propose a multiagent deep Q-learning-based dynamic slices TP and SF adjustment process that aims at maximizing self-QoS requirements in term of throughput and delay. Second, the deep federated learning is proposed to learn multiagent self-model and enable them to find an optimal action decision on the TP and the SF that satisfy IIoT virtual network slice QoS reward, exploiting the shared experiences between agents. Simulation results show that the proposed DFQL framework achieves efficient performance compared to the traditional approaches.","1941-0050","","10.1109/TII.2020.3032165","King Saud University; Vice Deanship of Scientific Research Chairs: Chair of Pervasive and Mobile Computing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239890","Federated learning (FL);industrial Internet of Things (IIoT);network slicing (NS);quality-of-service (QoS);reinforcement learning (RL)","Quality of service;Network slicing;Computer architecture;Resource management;Reinforcement learning;Collaborative work","computer network management;data acquisition;Internet;Internet of Things;learning (artificial intelligence);multi-agent systems;quality of service;resource allocation","federated reinforcement learning;private data;increasing IIoT computational capacity;network-as-service;network-as-infrastructure transition;resource requirements;quality-of-service requirements;Things applications;multiindustrial Internet;industrial IoT;deep federated Q-learning-based network slicing;satisfy IIoT virtual network slice QoS reward;deep federated learning;multiagent deep Q-learning-based dynamic slices TP;IIoT slices resource allocation;future IIoT networks;differentiated QoS services;dynamic network management;deep RL scheme;self-learning experiences;local computation capacities;distributed network agents;computation tasks;data acquisition","","","","30","IEEE","26 Oct 2020","","","IEEE","IEEE Journals"
"Deploying Smart City components for 5G network slicing","B. Rusti; H. Stefanescu; M. Iordache; J. Ghenta; C. Brezeanu; C. Patachia","Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania; Orange, Romania","2019 European Conference on Networks and Communications (EuCNC)","15 Aug 2019","2019","","","149","154","The integration requirements between digital systems acting as enablers for vertical industries services and network layers represents a big challenge for multitenant vertical slice deployment initiatives over 5G infrastructure. Several concepts were developed, among them Smart City 5G-ready application based on cloud-native/microservice principles that proposes a separation between the orchestration of the 5G applications and the network services that support them. In this paper we are presenting the deployment phases of Smart City demonstrator focusing mainly on its first phase which covers the test bed deployment and the on-boarding process of application components. It is an advanced stage in the evolution of the project from the theoretical concept proposal [1], followed by the design and development phase as a collaboration between two 5G-PPP EU projects MATILDA and SliceNet [2] toward its completion as an automated solution for development, deployment and management of a Smart City 5G cloud-native application slice over the virtualized infrastructure. The target is to create and implement an end-to-end operational service framework starting from design and development to end to end orchestration over a 5G infrastructure through a One-Stop API assuring the end-to-end management, control and orchestration of the slice.","2575-4912","978-1-7281-0546-8","10.1109/EuCNC.2019.8802054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802054","5G;Marketplace;5G-ready application;Cloud-native;Network Slice;Slice Intent;IoT;Sensor;Smart City;Matilda;SliceNet","","5G mobile communication;application program interfaces;cloud computing;computer network management;smart cities;virtualisation","5G network slicing;integration requirements;virtualized infrastructure;end-to-end management;smart city components deployment;5G-ready application;on-boarding proces;5G-PPP EU projects MATILDA;SliceNet;smart city 5G cloud-native application;one-stop API","","1","","15","","15 Aug 2019","","","IEEE","IEEE Conferences"
