"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on 5G Network Slicing for Digital Power Grid","W. Li; Z. Wu; P. Zhang","Ltd. Power Dispatching Control Center Guangdong Power Grid Co.,Guangzhou,Guangdong,China,b51000; Ltd. Power Dispatching Control Center Guangdong Power Grid Co.,Guangzhou,Guangdong,China,b51000; Ltd. Power Dispatching Control Center Guangdong Power Grid Co.,Guangzhou,Guangdong,China,b51000","2020 IEEE 3rd International Conference on Electronic Information and Communication Technology (ICEICT)","1 Feb 2021","2020","","","679","682","In order to build safe, reliability and smart digital grid, faster transmit rate, lower delay and more connections wireless communication network is urgent. With the deployment of 5G network, network slicing for power grid will enable the development of applications. In this paper, we firstly analysis the requirements of digital power grid. Then we present a 5G digital power network slicing architecture. A 5G network slicing for digital power grid framework is proposed. At last, we analysis three types of application scenarios includes basic business, extended business and other special busines.","","978-1-7281-9045-7","10.1109/ICEICT51264.2020.9334327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334327","Digital power grid;5G;Network slicing;applications","Wireless communication;5G mobile communication;Network slicing;Smart grids;Information and communication technology;Reliability;Business","5G mobile communication;power engineering computing;power grids;power system reliability","network slicing;smart digital grid;faster transmit rate;communication network;5G digital power network;digital power grid framework","","1","","13","","1 Feb 2021","","","IEEE","IEEE Conferences"
"Application of 5G network slicing technology in smart grid","R. Liu; X. Hai; S. Du; L. Zeng; J. Bai; J. Liu","Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; State Grid Information & Telecommunication Group Co., Ltd.,Beijing,China; Fibrlink Communications Co., Ltd,Beijing,China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","740","743","With the development of power Internet of Things technology, the communication needs of smart grid are increasing. Network slicing technology, as a key technology for 5G empowering vertical industries, uses virtual private network technology to provide the power industry with end-to-end flexible and customized 5G services which is large bandwidth, low latency and high reliability through the slicing platform. Network slicing technologies are of great significance to the smart and efficient development of power grids. Based on this, this article introduces 5G network slicing technology, and then proposes the application of 5G network slicing in smart grids from four aspects.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9389979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389979","smart grid;network slicing;5G technology","5G mobile communication;Power supplies;Network slicing;Smart grids;Virtual private networks;Reliability;Internet of Things","5G mobile communication;Internet of Things;smart power grids;virtual private networks","smart grid;network slicing technology;virtual private network technology","","","","14","","2 Apr 2021","","","IEEE","IEEE Conferences"
"Empirical design, prototyping and evaluation of a new hardware-based network slicing approach for 6G backbone networks","R. Ricart-Sanchez; P. Salva-Garcia; E. Chirivella-Perez; J. M. A. Calero; Q. Wang","University of the West of Scotland, School of Computing, Engineering and Physical Sciences,United Kingdom; University of the West of Scotland, School of Computing, Engineering and Physical Sciences,United Kingdom; University of the West of Scotland, School of Computing, Engineering and Physical Sciences,United Kingdom; University of the West of Scotland, School of Computing, Engineering and Physical Sciences,United Kingdom; University of the West of Scotland, School of Computing, Engineering and Physical Sciences,United Kingdom","2021 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","28 Jul 2021","2021","","","341","346","With 5G being currently deployed worldwide, research into 6G has been initiated to advance the key technologies of 5G to the next level. Network slicing, as a cornerstone technology in 5G, is expected to continue playing an important role in guaranteeing the Quality of Service for various vertical business use cases with divergent yet more demanding requirements in the next generation. This research explores a towards 6G scenario where ultra-high performance of backbone network slicing is entailed as part of an end-to-end solution to address ultra-reliable low-latency communications in mission-critical industrial operations for smart factory and manufacturing, smart warehouse and other Industry 4.0 and beyond applications. To address the highly demanding requirements, this paper proposes a new hardware-based network slicing approach based on the eXpress Data Path (XDP). The proposed solution is designed, prototyped and compared with an existing hardware-based alternative through empirical experiments over a pre-6G infrastructure testbed. The insights gained from the experimentation would help cast light on hardware-accelerated approaches in 6G network slicing.","2575-4912","978-1-6654-1526-2","10.1109/EuCNC/6GSummit51104.2021.9482495","European Commission Horizon 2020(grant numbers:H2020-ICT-2020-2/101017226); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482495","","6G mobile communication;5G mobile communication;Network slicing;Mission critical systems;Packet loss;Quality of service;Ultra reliable low latency communication","","","","","","15","","28 Jul 2021","","","IEEE","IEEE Conferences"
"Enabling Smart Home with 5G Network Slicing","B. Dzogovic; B. Santos; J. Noll; V. T. Do; B. Feng; T. v. Do","Oslo Metropolitan University, Norway; Oslo Metropolitan University, Norway; University of Oslo/ITS, Kjeller, Norway; Wolffia AS, Norway; Oslo Metropolitan University, Norway; Telenor and Oslo Metropolitan University, Norway","2019 IEEE 4th International Conference on Computer and Communication Systems (ICCCS)","2 Sep 2019","2019","","","543","548","In addition to mobile phones 5G mobile networks will have to support billion IoT devices and applications. To achieve this objective 5G relies in the network slicing concept which is not yet fully understood. This paper describes how 5G network slicing can accommodate Smart Home, a popular IoT application. The state of the art of Smart Home is thoroughly studied and the findings summarized. The Smart Home network slicing and its pilot implementation are also described in a concise but comprehensive way.","","978-1-7281-1322-7","10.1109/CCOMS.2019.8821727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821727","smart home;home automation;5G mobile networks;5G mobile systems;5G network slicing;internet of things","Smart homes;5G mobile communication;Wireless LAN;Security;Communication system security;Network slicing;Wireless sensor networks","5G mobile communication;Internet of Things;mobile handsets","5G network slicing;mobile phones 5G mobile networks;Smart Home network slicing;IoT application","","8","","23","","2 Sep 2019","","","IEEE","IEEE Conferences"
"SDN/NFV, Machine Learning, and Big Data Driven Network Slicing for 5G","L. Le; B. P. Lin; L. Tung; D. Sinh","College of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan; Deparment of Computer Science, National Chiao Tung University, Hsinchu, Taiwan; Microelectronics & Information Research Center, National Chiao Tung University, Hsinchu, Taiwan; Deparment of Computer Science, National Chiao Tung University, Hsinchu, Taiwan","2018 IEEE 5G World Forum (5GWF)","1 Nov 2018","2018","","","20","25","5G networks are expected to be able to satisfy a variety of vertical services for mobile users, business demands, and automotive industry. Network slicing is a promising technology for 5G to provide a network as a service (NaaS) for a wide range of services that run on different virtual networks deployed on a shared network infrastructure. Moreover, the SON (self-organizing network) in 5G is expected as a significant evolution to guarantee for full intelligence, automatic, and faster management and optimization. To deal with those requirements, recently, software-defined networking (SDN), network functions virtualization (NFV), big data, and machine learning have been proposed as emerging technologies and the necessary tools for 5G, especially, for network slicing. This study aims to integrate various machine learning (ML) algorithms, big data, SDN, and NFV to build a comprehensive architecture and an experimental framework for the future SONs and network slicing. Finally, based on this framework, we successfully implemented an early state traffic classification and network slicing for mobile broadband traffic applications implemented at Broadband Mobile Lab (BML), National Chiao Tung University (NCTU).","","978-1-5386-4982-4","10.1109/5GWF.2018.8516953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516953","SDN/NFV;Machine Learning;Big Data;SON;5G;Network slicing;Application identification.","Network slicing;Big Data;5G mobile communication;Hidden Markov models;Feature extraction;Computer architecture;Cloud computing","5G mobile communication;Big Data;broadband networks;cloud computing;learning (artificial intelligence);mobile computing;software defined networking;telecommunication computing;telecommunication traffic;virtualisation","big data driven network slicing;shared network infrastructure;self-organizing network;software-defined networking;network functions virtualization;machine learning algorithms;virtual networks;5G networks;early state traffic classification;mobile broadband traffic applications;broadband mobile lab;NFV;network as a service;SDN;NaaS;Broadband Mobile Lab;National Chiao Tung University;NCTU;BML","","10","","17","","1 Nov 2018","","","IEEE","IEEE Conferences"
"Artificial intelligence-empowered resource management for future wireless communications: A survey","M. Lin; Y. Zhao","School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing 100044, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing 100044, China","China Communications","7 Apr 2020","2020","17","3","58","77","How to explore and exploit the full potential of artificial intelligence (AI) technologies in future wireless communications such as beyond 5G (B5G) and 6G is an extremely hot inter-disciplinary research topic around the world. On the one hand, AI empowers intelligent resource management for wireless communications through powerful learning and automatic adaptation capabilities. On the other hand, embracing AI in wireless communication resource management calls for new network architecture and system models as well as standardized interfaces/protocols/data formats to facilitate the large-scale deployment of AI in future B5G/6G networks. This paper reviews the state-of-art AI-empowered resource management from the framework perspective down to the methodology perspective, not only considering the radio resource (e.g., spectrum) management but also other types of resources such as computing and caching. We also discuss the challenges and opportunities for AI-based resource management to widely deploy AI in future wireless communication networks.","1673-5447","","10.23919/JCC.2020.03.006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058606","5G;beyond 5G (B5G);6G;artificial intelligence (AI);machine learning (ML);network slicing;resource management","Resource management;Artificial intelligence;5G mobile communication;Wireless communication;Big Data;Quality of service;Network slicing","5G mobile communication;artificial intelligence;protocols;resource allocation;telecommunication computing;telecommunication network management","automatic adaptation capabilities;wireless communication resource management;radio resource;AI-based resource management;wireless communication networks;artificial intelligence technologies;beyond 5G;B5G-6G networks","","1","","","","7 Apr 2020","","","IEEE","IEEE Magazines"
"Benefits of using 5G Network Slicing to implement Vehicle-to-Everything (V2X) technology","I. Šeremet; S. Čaušević","Communication Technology, Faculty for traffic and communication, Sarajevo, Bosna I Hercegovina; Communication Technology, Faculty for traffic and communication, Sarajevo, Bosna I Hercegovina","2019 18th International Symposium INFOTEH-JAHORINA (INFOTEH)","20 May 2019","2019","","","1","6","This paper presents an overview of V2X technology where 4G and 5G network slicing is applied. Network slicing enables multiple logical slice networks to be created over one physical network, where each slice can individually be managed and configured depending on different needs related to bandwidth, latency, privacy, QoS parameters etc. Using network slicing in V2X increases the possibility of creating smart and secure traffic where all information in traffic circulates flawlessly. V2X network slicing can be applied over cellular networks in 4G with LTE-A, but the arrival of 5G V2X network slicing will bring major improvements. The aim of this paper is to describe advantages of using 5G network slicing V2X in relation to 4G network slicing V2X.","","978-1-5386-7073-6","10.1109/INFOTEH.2019.8717780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8717780","5G;Network Slicing;V2X","Network slicing;Vehicle-to-everything;5G mobile communication;Long Term Evolution;Bandwidth;Virtualization;Base stations","4G mobile communication;5G mobile communication;cellular radio;Long Term Evolution;quality of service;telecommunication traffic;traffic engineering computing","cellular networks;5G network slicing;4G network slicing;physical network;multiple logical slice networks;V2X network slicing","","1","","33","","20 May 2019","","","IEEE","IEEE Conferences"
"5G Network Performance Analysis and Verification Based on Ubiquitous Electricity Internet of Things","L. He; Q. Guo; J. Zhong; X. Wang; M. Li; Y. Teng","Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China; Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China; Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China; Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China; Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China; Information and communication technology center, State Grid Xinjiang Electric Power Research Institute,Urumqi,China","2020 IEEE 4th Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","4 May 2020","2020","1","","2613","2617","At present, governments of all countries are stepping up the construction of “energy + Internet”. Besides, the report of the 19th CPC National Congress and the “13th Five-Year Plan” both set expectations and requirements for the development of a clean, efficient and intelligent power grid. The 5G, as a new generation of mobile communication technology after 2020, is the development direction of future wireless technologies. This article conducts 5G network performance analysis and test network verification. Helping 5G + network slicing technology enable grid control and acquisition services and provide support for emerging grid services. Lay a solid foundation for the next evolution of enhanced power 5G technology equipment.","","978-1-7281-4390-3","10.1109/ITNEC48623.2020.9084822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9084822","5G;Network slicing;control;acquisition","5G mobile communication;Interference;Throughput;Uplink;High frequency;Network slicing;Business","5G mobile communication;Internet of Things;mobile computing;power engineering computing;power grids","5G network performance analysis;CPC National Congress;Five-Year Plan;intelligent power grid;mobile communication technology;wireless technologies;test network verification;grid control;acquisition services;enhanced power 5G technology equipment;5G + network slicing technology;ubiquitous electricity Internet of Things","","","","7","","4 May 2020","","","IEEE","IEEE Conferences"
"DEMO: SDN-based network slicing in C-RAN","S. Costanzo; I. Fajjari; N. Aitsaadi; R. Langar","Sorbonne Universites, UPMC Univ. Paris 06, CNRS, LIP6 UMR 7606, F-75005 Paris, France; Orange-Labs, F-92320 Châtillon, France; University Paris-Est, LIGM-CNRS UMR 8049, ESIEE Paris: F-93162, Noisy-le-Grand, France; University Paris-Est, LIGM-CNRS UMR 8049, UPEM, F-77420, Marne-la-Vallée, France","2018 15th IEEE Annual Consumer Communications & Networking Conference (CCNC)","19 Mar 2018","2018","","","1","2","Network slicing is considered a key technology for the upcoming 5G system, enabling operators to efficiently support multiple services with heterogeneous requirements, over a common shared infrastructure. In this demo, we present a prototype for managing network slices in the Cloud Radio Access Network (C-RAN), which is considered the reference network architecture for 5G. Our prototype deals with the spectrum slicing problematic and aims at efficiently sharing the bandwidth resources among different slices, while considering their requirements. The prototype makes use of the Open Air Interface (OAI) platform and a specific Software Defined Network (SDN) controller, known as FlexRAN. By using real smart-phones, we run experiments on stage to validate the feasibility of the prototype in configuring multiple slices on-demand, driven by the input of a northbound application.","2331-9860","978-1-5386-4790-5","10.1109/CCNC.2018.8319321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8319321","5G;C-RAN;Network Slicing;Open Air Interface;FlexRAN","Prototypes;Network slicing;5G mobile communication;Radio access networks;Bandwidth;Software;Computer architecture","5G mobile communication;cloud computing;computer network management;radio access networks;software defined networking;telecommunication traffic","C-RAN;common shared infrastructure;Cloud Radio Access Network;reference network architecture;multiple slices on-demand;5G system;software defined network controller;SDN-based network slicing;network slice management;open air interface platform;OAI platform;SDN controller;FlexRAN;smart-phones","","6","","7","","19 Mar 2018","","","IEEE","IEEE Conferences"
"Network Slicing: Recent Advances, Taxonomy, Requirements, and Open Research Challenges","L. U. Khan; I. Yaqoob; N. H. Tran; Z. Han; C. S. Hong","Department of Computer Science & Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science & Engineering, Kyung Hee University, Yongin, South Korea; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; Department of Computer Science & Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science & Engineering, Kyung Hee University, Yongin, South Korea","IEEE Access","27 Feb 2020","2020","8","","36009","36028","Fifth-generation (5G) and beyond networks are envisioned to provide multi-services with diverse specifications. Network slicing is identified as a key enabling technology to enable 5G networks with multi-services. Network slicing allows a transition from a network-as-an-infrastructure setup to a network-as-a-service to enable numerous 5G smart services with diverse requirements. Although several surveys and tutorials have discussed network slicing in detail, there is no comprehensive study discussing the taxonomy and requirements of network slicing. In this paper, we present and investigate key recent advances of network slicing towards enabling several Internet of Things (IoT) smart applications. A taxonomy is devised for network slicing using different parameters: key design principles, enablers, slicing resources levels, service function chaining schemes, physical infrastructures, and security. Furthermore, we discuss key requirements for network slicing to enable smart services. Finally, we present several open research challenges along with possible guidelines for network slicing.","2169-3536","","10.1109/ACCESS.2020.2975072","National Research Foundation of Korea; Korean Government (MSIT)(grant numbers:NRF-2017R1A2A2A05000995); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9003208","5G;6G;network slicing;software-defined networking;network function virtualization;Internet of Things","Network slicing;Taxonomy;5G mobile communication;Internet of Things;Security;Network function virtualization;Cloud computing","5G mobile communication;Internet of Things;quality of service;resource allocation;telecommunication security;virtualisation","network slicing;fifth-generation networks;5G networks;network-as-an-infrastructure setup;5G smart services;Internet of Things;IoT smart applications;slicing resource levels;service function chaining schemes;physical infrastructures","","17","","106","CCBY","19 Feb 2020","","","IEEE","IEEE Journals"
